tc_id,source_file,original_entry_detail,extracted_token,adjudication_class,resolution_requirement,position_info,verifier_candidates,rationale,required_decision
ALTBASIC_QPN_123,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:WI-FI focus > Press right > press_key:Wi-Fi focus > Press down,WI-FI focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 블루투스 / 모바일 데이터,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_123,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:WI-FI focus > Press right > press_key:Wi-Fi focus > Press down,Wi-Fi focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 블루투스 / 모바일 데이터,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_124,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:블루투스 focus > Press down > press_key:모바일 데이터 focus > Press right,블루투스 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 소리모드,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_124,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:블루투스 focus > Press down > press_key:모바일 데이터 focus > Press right,모바일 데이터 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 소리모드,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_125,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:모바일 데이터 focus > press down > press_key:소리모드 focus > press down,모바일 데이터 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 펼치기,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_125,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:모바일 데이터 focus > press down > press_key:소리모드 focus > press down,소리모드 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 펼치기,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_130,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:펼치기 focus > Press OK,펼치기 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: wifi,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_131,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:wifi focus > press up,wifi focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 밝기 조절 바 / 밝기 아이콘,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_133,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:wifi focus > Press OK 길게 입력,wifi focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: Wi-Fi 설정 페이지,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_134,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:wifi focus > Press right,wifi focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 블루투스,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_135,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:wifi focus > Press down,wifi focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 모바일 데이터,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_137,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:밝기 조절 바 아이콘에 focus > press down,밝기 조절 바 아이콘에 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: wifi,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_138,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:wifi focus > keep press down,wifi focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 수정 버튼,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_140,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:수정 버튼 focus > keep press up,수정 버튼 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 밝기 조절,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_141,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:수정 버튼 focus > keep press right,수정 버튼 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 전원 버튼,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_142,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:wifi focus > Press back 또는 cancel,wifi focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 퀵패널 / 알림창 / wifi,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_145,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:모바일 데이터 focus > Press OK 길게 입력,모바일 데이터 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 모바일 네트워크 설정,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_146,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:소리모드 focus > Press OK 길게 입력,소리모드 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 소리 및 진동 설정,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_149,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:자동 회전 focus > Press Ok 길게 입력,자동 회전 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 화면 자동 회전,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_153,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:데이터 절약 focus > Press Ok 길게 입력,데이터 절약 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 데이터 절약 모드,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_155,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:방해금지 focus > Press Ok 길게 입력,방해금지 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 방해 금지 모드,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_157,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:핫스팟 focus > Press Ok long tap,핫스팟 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: Wi-Fi 핫스팟,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_158,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:Quick Share focus > Press Ok,Quick Share focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: Quick Share 설정 창,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_159,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:QR코드 스캐너 focus > Press Ok,QR코드 스캐너 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: QR 코드 스캔,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_163,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:집중 모드 focus > Press Ok,집중 모드 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 집중모드,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_165,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:알람 focus > Press Ok,알람 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 알람앱,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_167,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:수정 버튼 focus >press ok,수정 버튼 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 퀵 패널 수정화면,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_168,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 첫 번째 메뉴 focus > Press up,첫 번째 메뉴 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 뒤로가기,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_175,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:전원 버튼 focus >press ok,전원 버튼 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 긴급 전화 / 전원 끄기 / 다시 시작,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_QPN_176,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:설정 버튼 focus >press ok,설정 버튼 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 설정,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_LCH_153,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:홈 화면 하드키로 앱 포커스 > press_key:HardKey '확인' 버튼 롱탭,홈 화면 하드키로 앱 포커스,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 앱 정보 / 홈에서 삭제 / 설치 삭제 / 위젯,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_LCH_154,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:홈 화면 하드키로 앱 포커스 > press_key:HardKey '확인' 버튼 롱탭 > press_key:하방향키 입력,홈 화면 하드키로 앱 포커스,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 설치 삭제 / 위젯,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CAL_354,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 새 연락처 만들기 focus > press up > press_key:2. 새 연락처 만들기 focus > press up > press left > press_key:3. 새 연락처 만들기 focus > press up > press right,새 연락처 만들기 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 마이크 아이콘 / 돋보기 아이콘 / 더보기 아이콘,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CAL_354,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 새 연락처 만들기 focus > press up > press_key:2. 새 연락처 만들기 focus > press up > press left > press_key:3. 새 연락처 만들기 focus > press up > press right,새 연락처 만들기 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 마이크 아이콘 / 돋보기 아이콘 / 더보기 아이콘,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CAL_354,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 새 연락처 만들기 focus > press up > press_key:2. 새 연락처 만들기 focus > press up > press left > press_key:3. 새 연락처 만들기 focus > press up > press right,새 연락처 만들기 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 마이크 아이콘 / 돋보기 아이콘 / 더보기 아이콘,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_MSG_068,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:메시지 > 더보기 > 차단 및 스팸관리 focus > press_key:Press Ok,차단 및 스팸관리 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 뒤로가기,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_MSG_075,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 메시지 > 더보기 > 휴지통 focus > Press Ok,휴지통 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 뒤로가기,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_MSG_076,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,navigate:메시지 > 더보기 > 설정 focus > press_key:Press Ok,설정 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 뒤로가기,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CNT_003,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 새 연락처 만들기 focus > Press Up,새 연락처 만들기 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 좌-상단 메뉴,later executable step -> focus is a position acted upon,device_navigation
