tc_id,baseline,tier0,tier1,tier2,tier0_screen,tier0_focus_candidate,tier0_adjudicate,optimistic_upper_bound
ALTBASIC_BSC_014,True,True,True,True,True,True,True,True
ALTBASIC_BSC_015,True,True,True,True,True,True,True,True
ALTBASIC_BSC_017,True,True,True,True,True,True,True,True
ALTBASIC_BSC_018,False,False,False,True,False,False,False,True
ALTBASIC_BSC_019,True,True,True,True,True,True,True,True
ALTBASIC_BSC_025,False,False,False,True,False,False,False,True
ALTBASIC_BSC_031,False,False,False,True,False,False,False,True
ALTBASIC_BSC_071,False,False,False,False,False,False,False,False
ALTBASIC_BSC_072,False,False,False,False,False,False,False,False
ALTBASIC_BSC_073,False,False,False,False,False,False,False,False
ALTBASIC_BSC_120,False,False,True,True,False,False,False,True
ALTBASIC_BSC_121,False,False,False,True,False,False,False,True
ALTBASIC_BSC_124,False,False,False,False,False,False,False,False
ALTBASIC_HDK_016,False,False,False,True,False,False,False,True
ALTBASIC_HDK_019,False,False,False,True,False,False,False,True
ALTBASIC_HDK_021,False,False,False,True,False,False,False,True
ALTBASIC_HDK_022,False,False,False,True,False,False,False,True
ALTBASIC_HDK_023,False,False,False,True,False,False,False,True
ALTBASIC_HDK_035,False,False,False,True,False,False,False,True
ALTBASIC_HDK_036,False,False,False,True,False,False,False,True
ALTBASIC_HDK_037,False,False,False,True,False,False,False,True
ALTBASIC_HDK_038,False,False,False,True,False,False,False,True
ALTBASIC_HDK_041,False,False,False,False,False,False,True,True
ALTBASIC_HDK_042,False,False,False,False,False,False,True,True
ALTBASIC_HDK_046,False,False,False,False,False,False,True,True
ALTBASIC_HDK_050,False,False,False,True,False,False,False,True
ALTBASIC_HDK_052,False,False,False,False,False,False,False,False
ALTBASIC_HDK_053,False,False,False,False,False,False,False,False
ALTBASIC_HDK_054,False,False,False,False,False,False,False,False
ALTBASIC_HDK_055,False,False,False,False,False,False,True,True
ALTBASIC_HDK_056,False,False,False,False,False,False,True,True
ALTBASIC_HDK_062,False,False,False,False,False,False,True,True
ALTBASIC_HDK_064,False,False,False,False,False,False,True,True
ALTBASIC_HDK_070,False,False,False,False,False,False,False,True
ALTBASIC_HDK_094,False,False,False,False,False,False,True,True
ALTBASIC_HDK_096,False,False,False,False,False,False,True,True
ALTBASIC_HDK_097,False,False,False,False,False,False,True,True
ALTBASIC_HDK_098,False,False,False,False,False,False,True,True
ALTBASIC_HDK_099,False,False,False,False,False,False,True,True
ALTBASIC_HDK_100,False,False,False,False,False,False,True,True
ALTBASIC_HDK_101,False,False,False,False,False,False,True,True
ALTBASIC_HDK_102,False,False,False,False,False,False,True,True
ALTBASIC_QPN_001,False,False,True,True,False,False,False,True
ALTBASIC_QPN_002,False,False,True,True,False,False,False,True
ALTBASIC_QPN_004,False,False,True,True,False,False,False,True
ALTBASIC_QPN_008,False,False,False,True,False,False,False,True
ALTBASIC_QPN_010,False,False,False,True,False,False,False,True
ALTBASIC_QPN_011,False,False,False,True,False,False,False,True
ALTBASIC_QPN_012,False,False,False,False,False,False,False,False
ALTBASIC_QPN_026,False,False,False,False,False,False,False,False
ALTBASIC_QPN_043,False,False,False,False,False,False,False,True
ALTBASIC_QPN_044,False,False,False,False,False,False,False,True
ALTBASIC_QPN_053,False,False,False,False,False,False,False,False
ALTBASIC_QPN_056,False,False,False,False,False,False,False,False
ALTBASIC_QPN_066,False,False,False,False,False,False,False,False
ALTBASIC_QPN_102,False,False,False,False,False,False,False,False
ALTBASIC_QPN_116,False,False,True,True,False,False,False,True
ALTBASIC_QPN_121,False,False,False,False,False,False,False,False
ALTBASIC_QPN_122,False,False,False,False,False,False,False,False
ALTBASIC_QPN_123,False,False,False,False,False,True,False,True
ALTBASIC_QPN_124,False,False,False,False,False,True,False,True
ALTBASIC_QPN_125,False,False,False,False,False,True,False,True
ALTBASIC_QPN_130,False,False,False,False,False,True,False,True
ALTBASIC_QPN_131,False,False,False,False,False,True,False,True
ALTBASIC_QPN_133,False,False,False,False,False,False,False,True
ALTBASIC_QPN_134,False,False,False,False,False,True,False,True
ALTBASIC_QPN_135,False,False,False,False,False,True,False,True
ALTBASIC_QPN_137,False,False,False,False,False,True,False,True
ALTBASIC_QPN_138,False,False,False,False,False,True,False,True
ALTBASIC_QPN_140,False,False,False,False,False,True,False,True
ALTBASIC_QPN_141,False,False,False,False,False,True,False,True
ALTBASIC_QPN_142,False,False,False,False,False,False,False,True
ALTBASIC_QPN_145,False,False,False,False,False,False,False,True
ALTBASIC_QPN_146,False,False,False,False,False,False,False,True
ALTBASIC_QPN_149,False,False,False,False,False,False,False,True
ALTBASIC_QPN_153,False,False,False,False,False,False,False,True
