tc_id,title,source_sheet,source_row,area,menu_path,depth,entry_method,entry_evidence,text_input_required,focus_nav_required,mutation_suspected,baseline_screen_id,anchor_state,anchor_reason,confidence,recommended_probe
23.Settings#1.0,Settings / 설정 검색,23.Settings,2,검색,"설정 > 검색 > 화면"" 입력 > 화면 자동 회전",3,SEARCH_CANDIDATE,reached via Settings 검색 in menu path,True,False,True,,MISSING,no baseline d1 screen for area '검색',0.3,PROBE_DEFER_MUTATION
23.Settings#3.0,Settings / 설정 검색,23.Settings,4,검색,설정 > 검색,1,SEARCH_CANDIDATE,reached via Settings 검색 in menu path,True,False,False,,MISSING,no baseline d1 screen for area '검색',0.3,PROBE_DEFER_INPUT
23.Settings#4.0,Settings / 설정 검색,23.Settings,5,시스템 언어,설정 > 시스템 언어 > 영어 > 검색,3,SEARCH_CANDIDATE,reached via Settings 검색 in menu path,True,False,False,,MISSING,no baseline d1 screen for area '시스템 언어',0.3,PROBE_DEFER_INPUT
23.Settings#5.0,Settings / 설정 검색,23.Settings,6,시스템 언어,설정 > 시스템 언어 > 한국어 > 검색,3,SEARCH_CANDIDATE,reached via Settings 검색 in menu path,True,False,False,,MISSING,no baseline d1 screen for area '시스템 언어',0.3,PROBE_DEFER_INPUT
23.Settings#70.0,Settings / 연결된 기기,23.Settings,75,연결된 기기,설정 > 연결된 기기 > + 새 기기와 페어링 > 기기 이름,3,DEEPLINK_CANDIDATE,baseline launched android.settings.BLUETOOTH_SETTINGS (d1 candidate; leaf unconfirmed),False,False,True,settings_d1_bluetooth,PARTIAL,d1 screen in baseline; leaf not in single-pass observation (may exist deeper),0.4,PROBE_DEFER_MUTATION
23.Settings#77.0,Settings / 연결된 기기,23.Settings,82,연결된 기기,설정 > 연결된 기기 > 연결 환경설정 > 전송,3,DEEPLINK_CANDIDATE,baseline launched android.settings.BLUETOOTH_SETTINGS (d1 candidate; leaf unconfirmed),False,False,False,settings_d1_bluetooth,PARTIAL,d1 screen in baseline; leaf not in single-pass observation (may exist deeper),0.4,PROBE_PRIORITY_HIGH
23.Settings#78.0,Settings / 연결된 기기,23.Settings,83,연결된 기기,설정 > 연결된 기기 > 연결 환경설정 > 인쇄,3,DEEPLINK_CANDIDATE,baseline launched android.settings.BLUETOOTH_SETTINGS (d1 candidate; leaf unconfirmed),False,False,False,settings_d1_bluetooth,PARTIAL,d1 screen in baseline; leaf not in single-pass observation (may exist deeper),0.4,PROBE_PRIORITY_HIGH
23.Settings#79.0,Settings / 연결된 기기,23.Settings,84,연결된 기기,설정 > 연결된 기기 > 연결 환경설정 > Quick Share,3,DEEPLINK_CANDIDATE,baseline launched android.settings.BLUETOOTH_SETTINGS (d1 candidate; leaf unconfirmed),False,False,False,settings_d1_bluetooth,PARTIAL,d1 screen in baseline; leaf not in single-pass observation (may exist deeper),0.4,PROBE_PRIORITY_HIGH
23.Settings#80.0,Settings / 연결된 기기,23.Settings,85,연결된 기기,설정 > 연결된 기기 > 연결 환경설정 > Android Auto,3,DEEPLINK_CANDIDATE,baseline launched android.settings.BLUETOOTH_SETTINGS (d1 candidate; leaf unconfirmed),False,False,False,settings_d1_bluetooth,PARTIAL,d1 screen in baseline; leaf not in single-pass observation (may exist deeper),0.4,PROBE_PRIORITY_HIGH
23.Settings#81.0,Settings / 앱,23.Settings,86,앱,설정 > 앱 > 최근 실행한 앱,2,DEEPLINK_CANDIDATE,baseline launched android.settings.APPLICATION_SETTINGS (d1 candidate; leaf unconfirmed),False,False,False,settings_d1_apps,PARTIAL,d1 screen in baseline; leaf not in single-pass observation (may exist deeper),0.4,PROBE_PRIORITY_HIGH
